央视频道,#genre#
﻿﻿CCTV1-综合,http://123.112.208.208:4022/rtp/239.3.1.129:8008?$北京联通
CCTV2-财经,http://123.112.208.208:4022/rtp/239.3.1.60:8084?$北京联通
CCTV3-综艺,http://123.112.208.208:4022/rtp/239.3.1.172:8001?$北京联通
CCTV4-国际,http://123.112.208.208:4022/rtp/239.3.1.105:8092?$北京联通
CCTV4-国际,http://123.112.208.208:4022/rtp/239.3.1.213:4220?$北京联通
CCTV4-国际,http://123.112.208.208:4022/rtp/239.3.1.214:4220?$北京联通
CCTV5-体育,http://123.112.208.208:4022/rtp/239.3.1.173:8001?$北京联通
CCTV5-体育plus,http://123.112.208.208:4022/rtp/239.3.1.130:8004?$北京联通
CCTV6-电影,http://123.112.208.208:4022/rtp/239.3.1.174:8001?$北京联通
CCTV7-军事,http://123.112.208.208:4022/rtp/239.3.1.61:8104?$北京联通
CCTV8-电视剧,http://123.112.208.208:4022/rtp/239.3.1.175:8001?$北京联通
CCTV9-纪录,http://123.112.208.208:4022/rtp/239.3.1.62:8112?$北京联通
CCTV10-科教,http://123.112.208.208:4022/rtp/239.3.1.63:8116?$北京联通
CCTV11-戏曲,http://123.112.208.208:4022/rtp/239.3.1.152:8120?$北京联通
CCTV12-社会与法,http://123.112.208.208:4022/rtp/239.3.1.64:8124?$北京联通
CCTV13-新闻,http://123.112.208.208:4022/rtp/239.3.1.124:8128?$北京联通
CCTV14-少儿,http://123.112.208.208:4022/rtp/239.3.1.65:8132?$北京联通
CCTV15-音乐,http://123.112.208.208:4022/rtp/239.3.1.153:8136?$北京联通
CCTV16-奥林匹克,http://123.112.208.208:4022/rtp/239.3.1.184:8001?$北京联通
CCTV17-农业农村,http://123.112.208.208:4022/rtp/239.3.1.151:8144?$北京联通
4K,http://123.112.208.208:4022/rtp/239.3.1.249:8001?$北京联通
华数4K,http://123.112.208.208:4022/rtp/239.3.1.236:2000?$北京联通
卫视频道,#genre#
安徽卫视,http://123.112.208.208:4022/rtp/239.3.1.211:8064?$北京联通
北京卫视,http://123.112.208.208:4022/rtp/239.3.1.241:8000?$北京联通
重庆卫视,http://123.112.208.208:4022/rtp/239.3.1.122:8160?$北京联通
东南卫视,http://123.112.208.208:4022/rtp/239.3.1.156:8148?$北京联通
广东卫视,http://123.112.208.208:4022/rtp/239.3.1.142:8048?$北京联通
贵州卫视,http://123.112.208.208:4022/rtp/239.3.1.149:8076?$北京联通
河北卫视,http://123.112.208.208:4022/rtp/239.3.1.148:8072?$北京联通
黑龙江卫视,http://123.112.208.208:4022/rtp/239.3.1.133:8016?$北京联通
湖北卫视,http://123.112.208.208:4022/rtp/239.3.1.138:8044?$北京联通
湖南卫视,http://123.112.208.208:4022/rtp/239.3.1.132:8012?$北京联通
吉林卫视,http://123.112.208.208:4022/rtp/239.3.1.240:8172?$北京联通
江苏卫视,http://123.112.208.208:4022/rtp/239.3.1.135:8028?$北京联通
江西卫视,http://123.112.208.208:4022/rtp/239.3.1.123:8164?$北京联通
辽宁卫视,http://123.112.208.208:4022/rtp/239.3.1.210:8056?$北京联通
山东卫视,http://123.112.208.208:4022/rtp/239.3.1.209:8052?$北京联通
上海卫视,http://123.112.208.208:4022/rtp/239.3.1.136:8032?$北京联通
深圳卫视,http://123.112.208.208:4022/rtp/239.3.1.134:8020?$北京联通
天津卫视,http://123.112.208.208:4022/rtp/239.3.1.141:1234?$北京联通
浙江卫视,http://123.112.208.208:4022/rtp/239.3.1.137:8036?$北京联通
北京频道,#genre#
BTV国际,http://123.112.208.208:4022/rtp/239.3.1.235:8000?$北京联通
北京财经,http://123.112.208.208:4022/rtp/239.3.1.116:8000?$北京联通
北京冬奥纪实,http://123.112.208.208:4022/rtp/239.3.1.243:8000?$北京联通
北京纪实科教,http://123.112.208.208:4022/rtp/239.3.1.115:8000?$北京联通
北京卡酷少儿,http://123.112.208.208:4022/rtp/239.3.1.189:8000?$北京联通
北京生活,http://123.112.208.208:4022/rtp/239.3.1.117:8000?$北京联通
北京文艺,http://123.112.208.208:4022/rtp/239.3.1.242:8000?$北京联通
北京新闻,http://123.112.208.208:4022/rtp/239.3.1.159:8000?$北京联通
北京影视,http://123.112.208.208:4022/rtp/239.3.1.158:8000?$北京联通
睛彩广场舞,http://123.112.208.208:4022/rtp/239.3.1.128:8001?$北京联通
淘宝贝,http://123.112.208.208:4022/rtp/239.3.1.238:8001?$北京联通
淘电影,http://123.112.208.208:4022/rtp/239.3.1.250:8001?$北京联通
淘精彩,http://123.112.208.208:4022/rtp/239.3.1.178:8001?$北京联通
淘剧场,http://123.112.208.208:4022/rtp/239.3.1.95:8001?$北京联通
淘娱乐,http://123.112.208.208:4022/rtp/239.3.1.100:8001?$北京联通
