<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.20.1</center>
</body>
</html>
央视频道,#genre#
4K,http://221.219.96.192:8012/rtp/239.3.1.249:8001?$北京联通
华数4K,http://221.219.96.192:8012/rtp/239.3.1.236:2000?$北京联通
组播剧场,#genre#
第一剧场,http://114.232.13.123:8181/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://114.238.59.174:4000/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://117.90.159.164:6000/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://121.237.245.90:8000/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://222.185.115.100:9004/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://222.95.92.12:4000/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://49.79.50.239:8889/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://49.83.250.201:10001/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://58.215.3.254:8686/rtp/239.49.8.94:8000?$江苏电信
风云剧场,http://114.232.13.123:8181/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://114.238.59.174:4000/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://117.90.159.164:6000/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://121.237.245.90:8000/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://222.185.115.100:9004/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://222.95.92.12:4000/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://49.79.50.239:8889/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://49.83.250.201:10001/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://58.215.3.254:8686/rtp/239.49.8.89:8000?$江苏电信
风云音乐,http://114.232.13.123:8181/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://114.238.59.174:4000/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://117.90.159.164:6000/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://121.237.245.90:8000/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://222.185.115.100:9004/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://222.95.92.12:4000/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://49.79.50.239:8889/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://49.83.250.201:10001/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://58.215.3.254:8686/rtp/239.49.8.92:8000?$江苏电信
怀旧剧场,http://114.232.13.123:8181/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://114.238.59.174:4000/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://117.90.159.164:6000/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://121.237.245.90:8000/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://222.185.115.100:9004/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://222.95.92.12:4000/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://49.79.50.239:8889/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://49.83.250.201:10001/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://58.215.3.254:8686/rtp/239.49.8.91:8000?$江苏电信
女性时尚,http://114.232.13.123:8181/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://114.238.59.174:4000/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://117.90.159.164:6000/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://121.237.245.90:8000/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://222.185.115.100:9004/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://222.95.92.12:4000/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://49.79.50.239:8889/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://49.83.250.201:10001/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://58.215.3.254:8686/rtp/239.49.8.93:8000?$江苏电信
世界地理,http://114.232.13.123:8181/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://114.238.59.174:4000/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://117.90.159.164:6000/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://121.237.245.90:8000/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://222.185.115.100:9004/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://222.95.92.12:4000/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://49.79.50.239:8889/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://49.83.250.201:10001/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://58.215.3.254:8686/rtp/239.49.8.87:8000?$江苏电信
北京频道,#genre#
BTV国际,http://221.219.96.192:8012/rtp/239.3.1.235:8000?$北京联通
北京财经,http://221.219.96.192:8012/rtp/239.3.1.116:8000?$北京联通
北京冬奥纪实,http://221.219.96.192:8012/rtp/239.3.1.243:8000?$北京联通
北京纪实科教,http://221.219.96.192:8012/rtp/239.3.1.115:8000?$北京联通
北京卡酷少儿,http://221.219.96.192:8012/rtp/239.3.1.189:8000?$北京联通
北京生活,http://221.219.96.192:8012/rtp/239.3.1.117:8000?$北京联通
北京文艺,http://221.219.96.192:8012/rtp/239.3.1.242:8000?$北京联通
北京新闻,http://221.219.96.192:8012/rtp/239.3.1.159:8000?$北京联通
北京影视,http://221.219.96.192:8012/rtp/239.3.1.158:8000?$北京联通
睛彩广场舞,http://221.219.96.192:8012/rtp/239.3.1.128:8001?$北京联通
淘宝贝,http://221.219.96.192:8012/rtp/239.3.1.238:8001?$北京联通
淘电影,http://221.219.96.192:8012/rtp/239.3.1.250:8001?$北京联通
淘精彩,http://221.219.96.192:8012/rtp/239.3.1.178:8001?$北京联通
淘剧场,http://221.219.96.192:8012/rtp/239.3.1.95:8001?$北京联通
淘娱乐,http://221.219.96.192:8012/rtp/239.3.1.100:8001?$北京联通
