<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.20.1</center>
</body>
</html>
央视频道,#genre#
组播剧场,#genre#
第一剧场,http://114.238.59.174:4000/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://121.237.245.90:8000/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://49.67.97.198:55555/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://49.72.158.64:9000/rtp/239.49.8.94:8000?$江苏电信
第一剧场,http://49.83.250.201:10001/rtp/239.49.8.94:8000?$江苏电信
风云剧场,http://114.238.59.174:4000/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://121.237.245.90:8000/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://49.67.97.198:55555/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://49.72.158.64:9000/rtp/239.49.8.89:8000?$江苏电信
风云剧场,http://49.83.250.201:10001/rtp/239.49.8.89:8000?$江苏电信
风云音乐,http://114.238.59.174:4000/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://121.237.245.90:8000/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://49.67.97.198:55555/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://49.72.158.64:9000/rtp/239.49.8.92:8000?$江苏电信
风云音乐,http://49.83.250.201:10001/rtp/239.49.8.92:8000?$江苏电信
怀旧剧场,http://114.238.59.174:4000/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://121.237.245.90:8000/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://49.67.97.198:55555/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://49.72.158.64:9000/rtp/239.49.8.91:8000?$江苏电信
怀旧剧场,http://49.83.250.201:10001/rtp/239.49.8.91:8000?$江苏电信
女性时尚,http://114.238.59.174:4000/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://121.237.245.90:8000/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://49.67.97.198:55555/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://49.72.158.64:9000/rtp/239.49.8.93:8000?$江苏电信
女性时尚,http://49.83.250.201:10001/rtp/239.49.8.93:8000?$江苏电信
世界地理,http://114.238.59.174:4000/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://121.237.245.90:8000/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://49.67.97.198:55555/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://49.72.158.64:9000/rtp/239.49.8.87:8000?$江苏电信
世界地理,http://49.83.250.201:10001/rtp/239.49.8.87:8000?$江苏电信
北京频道,#genre#
