央视频道,#genre#
none,#genre#
CCTV1[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000004000002226
CCTV1[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265001
CCTV2,http://home.isvvv.com:5050/itv/ystenlive/1000000001000023315
CCTV2[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000014161
CCTV2[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000001000023315
CCTV3,http://home.isvvv.com:5050/itv/wasusyt/6000000001000022313
CCTV3[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265003
CCTV4[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000011000031102
CCTV4[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265004
CCTV5,http://home.isvvv.com:5050/itv/ystenlive/1000000005000025222
CCTV5[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265005
CCTV5+,http://home.isvvv.com:5050/itv/wasusyt/6000000001000015875
CCTV5+[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265016
CCTV6,http://home.isvvv.com:5050/itv/ystenlive/1000000001000001737
CCTV6[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000004574
CCTV6[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265006
CCTV7,http://home.isvvv.com:5050/itv/ystenlive/1000000001000024341
CCTV7[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000009055
CCTV7[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265007
CCTV8,http://home.isvvv.com:5050/itv/wasusyt/6000000001000001070
CCTV8[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265008
CCTV9,http://home.isvvv.com:5050/itv/ystenlive/1000000001000014583
CCTV9[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000032162
CCTV9[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265009
CCTV10,http://home.isvvv.com:5050/itv/ystenlive/1000000001000023734
CCTV10[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000004000012827
CCTV10[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265010
CCTV11[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000011000031106
CCTV11[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265011
CCTV12,http://home.isvvv.com:5050/itv/ystenlive/1000000001000032494
CCTV12[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000022586
CCTV12[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265012
CCTV13[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000011000031108
CCTV14,http://home.isvvv.com:5050/itv/ystenlive/1000000001000008170
CCTV14[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000004000006673
CCTV14[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265013
CCTV15[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000011000031109
CCTV15[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265014
CCTV16,http://home.isvvv.com:5050/itv/ystenlive/1000000006000233002
CCTV164K[HEVC],http://home.isvvv.com:5050/itv/bestzb/5000000008000023254
CCTV17,http://home.isvvv.com:5050/itv/ystenlive/1000000006000268004
CCTV17[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265015
CGTN,http://home.isvvv.com:5050/itv/hnbblive/7745129417417101820
CGTN记录,http://home.isvvv.com:5050/itv/hnbblive/7114647837765104058
中国教育电视台1,http://home.isvvv.com:5050/itv/bestzb/5000000002000002652
中国教育电视台4,http://home.isvvv.com:5050/itv/bestzb/5000000011000031126
北京卫视,http://home.isvvv.com:5050/itv/wasusyt/6000000001000020451
北京卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265027
北京纪实科教,http://home.isvvv.com:5050/itv/ystenlive/1000000001000001910
北京纪实科教[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265020
北京卡酷少儿,http://home.isvvv.com:5050/itv/bestzb/7851974109718180595
安徽卫视,http://home.isvvv.com:5050/itv/ystenlive/1000000001000030159
安徽卫视[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000009954
安徽卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265025
东南卫视,http://home.isvvv.com:5050/itv/bestzb/5000000004000010584
东南卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265033
甘肃卫视,http://home.isvvv.com:5050/itv/bestzb/5000000011000031121
广东卫视,http://home.isvvv.com:5050/itv/ystenlive/1000000001000014176
广东卫视[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000031076
广东卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265034
广西卫视,http://home.isvvv.com:5050/itv/bestzb/5000000011000031118
贵州卫视,http://home.isvvv.com:5050/itv/bestzb/5000000004000025843
海南卫视,http://home.isvvv.com:5050/itv/bestzb/5000000004000006211
河北卫视,http://home.isvvv.com:5050/itv/bestzb/5000000006000040016
河南卫视,http://home.isvvv.com:5050/itv/bestzb/5000000011000031119
黑龙江卫视,http://home.isvvv.com:5050/itv/ystenlive/1000000001000001925
黑龙江卫视[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000016510
黑龙江卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265029
湖北卫视,http://home.isvvv.com:5050/itv/ystenlive/1000000001000024621
湖北卫视[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000015436
湖北卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265023
湖南卫视,http://home.isvvv.com:5050/itv/bestzb/5000000004000006692
湖南卫视[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000018044
湖南卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265024
湖南金鹰纪实,http://home.isvvv.com:5050/itv/bestzb/5000000011000031203
湖南快乐垂钓,http://home.isvvv.com:5050/itv/bestzb/5000000011000031206
湖南茶频道,http://home.isvvv.com:5050/itv/bestzb/5000000011000031209
吉林卫视,http://home.isvvv.com:5050/itv/bestzb/5000000011000031117
江苏卫视[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000014861
江苏卫视,http://home.isvvv.com:5050/itv/ystenlive/1000000001000001828
江苏卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265030
江西卫视,http://home.isvvv.com:5050/itv/ystenlive/1000000006000268001
江西卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265032
辽宁卫视,http://home.isvvv.com:5050/itv/bestzb/5000000004000011671
辽宁卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265022
青海卫视,http://home.isvvv.com:5050/itv/ystenlive/1000000002000013359
山东卫视,http://home.isvvv.com:5050/itv/ystenlive/1000000001000016568
山东卫视[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000004134
山东卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265019
上海东方卫视,http://home.isvvv.com:5050/itv/wasusyt/6000000001000003639
上海东方卫视[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000004000014098
上海东方卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265018
上海ICS外语,http://home.isvvv.com:5050/itv/bestzb/5000000010000030951
上海第一财经,http://home.isvvv.com:5050/itv/bestzb/5000000010000027146
上海东方财经,http://home.isvvv.com:5050/itv/bestzb/5000000007000010003
上海东方影视,http://home.isvvv.com:5050/itv/bestzb/5000000010000032212
上海都市,http://home.isvvv.com:5050/itv/bestzb/5000000010000018926
上海法治天地,http://home.isvvv.com:5050/itv/hnbblive/2000000002000000014
上海哈哈炫动,http://home.isvvv.com:5050/itv/bestzb/5000000011000031123
上海纪实人文[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000004000010282
上海纪实人文[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265021
上海五星体育,http://home.isvvv.com:5050/itv/bestzb/5000000010000017540
上海新闻综合,http://home.isvvv.com:5050/itv/bestzb/5000000011000031110
深圳卫视,http://home.isvvv.com:5050/itv/bestzb/5000000004000007410
深圳卫视[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000002116
深圳卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265028
四川卫视,http://home.isvvv.com:5050/itv/bestzb/5000000004000006119
天津卫视,http://home.isvvv.com:5050/itv/bestzb/5000000004000006827
天津卫视[50FPS],http://home.isvvv.com:5050/itv/wasusyt/6000000001000009186
天津卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265026
云南卫视,http://home.isvvv.com:5050/itv/bestzb/5000000011000031120
浙江卫视[50FPS],http://home.isvvv.com:5050/itv/bestzb/5000000004000007275
浙江卫视,http://home.isvvv.com:5050/itv/ystenlive/1000000001000014260
浙江卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265031
重庆卫视,http://home.isvvv.com:5050/itv/ystenlive/1000000001000001096
重庆卫视[HEVC],http://home.isvvv.com:5050/itv/ystenlive/1000000005000265017
华数4K,http://home.isvvv.com:5050/itv/wasusyt/6000000003000004748
纯享4K,http://home.isvvv.com:5050/itv/ystenlive/1000000004000011651
咪咕4K1,http://home.isvvv.com:5050/itv/FifastbLive/3000000010000005180
咪咕4K2,http://home.isvvv.com:5050/itv/FifastbLive/3000000010000015686
咪咕全民热练,http://home.isvvv.com:5050/itv/FifastbLive/3000000020000031315
求索动物,http://home.isvvv.com:5050/itv/wasusyt/6000000002000010046
求索纪录,http://home.isvvv.com:5050/itv/wasusyt/6000000002000032052
求索科学,http://home.isvvv.com:5050/itv/wasusyt/6000000002000032344
求索生活,http://home.isvvv.com:5050/itv/wasusyt/6000000002000003382
NewTV精品综合,http://home.isvvv.com:5050/itv/ystenlive/1000000004000019008
NewTV精品大剧,http://home.isvvv.com:5050/itv/ystenlive/1000000004000013968
NewTV精品纪录,http://home.isvvv.com:5050/itv/ystenlive/1000000004000013730
NewTV精品体育,http://home.isvvv.com:5050/itv/ystenlive/1000000004000014634
NewTV精品萌宠,http://home.isvvv.com:5050/itv/ystenlive/1000000006000032328
NewTV爱情喜剧,http://home.isvvv.com:5050/itv/hnbblive/2000000003000000010
NewTV超级电视剧,http://home.isvvv.com:5050/itv/ystenlive/1000000006000268003
NewTV超级电影,http://home.isvvv.com:5050/itv/ystenlive/1000000003000012426
NewTV超级体育,http://home.isvvv.com:5050/itv/ystenlive/1000000001000009601
NewTV超级综艺,http://home.isvvv.com:5050/itv/ystenlive/1000000006000268002
NewTV潮妈辣婆,http://home.isvvv.com:5050/itv/hnbblive/2000000003000000018
NewTV东北热剧,http://home.isvvv.com:5050/itv/ystenlive/1000000005000266013
NewTV动作电影,http://home.isvvv.com:5050/itv/ystenlive/1000000004000018653
NewTV古装剧场,http://home.isvvv.com:5050/itv/hnbblive/2000000003000000024
NewTV欢乐剧场,http://home.isvvv.com:5050/itv/ystenlive/1000000005000266012
NewTV家庭剧场,http://home.isvvv.com:5050/itv/ystenlive/1000000004000008284
NewTV金牌综艺,http://home.isvvv.com:5050/itv/ystenlive/1000000004000026167
NewTV惊悚悬疑,http://home.isvvv.com:5050/itv/ystenlive/1000000004000024282
NewTV军旅剧场,http://home.isvvv.com:5050/itv/hnbblive/2000000003000000014
NewTV军事评论,http://home.isvvv.com:5050/itv/hnbblive/2000000003000000022
NewTV魅力潇湘,http://home.isvvv.com:5050/itv/ystenlive/1000000001000006197
NewTV明星大片,http://home.isvvv.com:5050/itv/hnbblive/2000000003000000016
NewTV农业致富,http://home.isvvv.com:5050/itv/hnbblive/2000000003000000003
NewTV武博世界,http://home.isvvv.com:5050/itv/hnbblive/2000000003000000007
NewTV炫舞未来,http://home.isvvv.com:5050/itv/ystenlive/1000000001000000515
NewTV怡伴健康,http://home.isvvv.com:5050/itv/ystenlive/1000000005000266011
NewTV中国功夫,http://home.isvvv.com:5050/itv/hnbblive/2000000003000000009
NewTV黑莓电影,http://home.isvvv.com:5050/itv/ystenlive/1000000004000019624
NewTV黑莓动画,http://home.isvvv.com:5050/itv/ystenlive/1000000004000021734
NewTV哒啵电竞,http://home.isvvv.com:5050/itv/ystenlive/1000000006000032327
NewTV哒啵赛事,http://home.isvvv.com:5050/itv/ystenlive/1000000001000003775
